% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	Nprb
1.017	1	1	102	8	1	28	4395	0	0	47
1.064	1	1	107	5	1	28	4395	0	0	47
1.111	1	1	112	2	1	28	4395	0	0	47
1.158	1	1	116	9	1	28	4395	0	0	47
1.205	1	1	121	6	1	28	4395	0	0	47
1.252	1	1	126	3	1	28	4395	0	0	47
1.253	1	1	126	4	1	28	4395	0	0	47
1.299	1	1	130	10	1	28	4395	0	0	47
1.3	1	1	131	1	1	28	4395	0	0	47
1.301	1	1	131	2	1	28	4395	0	0	47
1.346	1	1	135	7	1	28	4395	0	0	47
1.347	1	1	135	8	1	28	4395	0	0	47
1.348	1	1	135	9	1	28	4395	0	0	47
1.349	1	1	135	10	1	28	4395	0	0	47
1.393	1	1	140	4	1	28	4395	0	0	47
1.394	1	1	140	5	1	28	4395	0	0	47
1.395	1	1	140	6	1	28	4395	0	0	47
1.396	1	1	140	7	1	28	4395	0	0	47
1.397	1	1	140	8	1	28	4395	0	0	47
1.398	1	1	140	9	1	28	4395	0	0	47
1.44	1	1	145	1	1	28	4395	0	0	47
1.441	1	1	145	2	1	28	4395	0	0	47
1.442	1	1	145	3	1	28	4395	0	0	47
1.443	1	1	145	4	1	28	4395	0	0	47
1.444	1	1	145	5	1	28	4395	0	0	47
1.445	1	1	145	6	1	28	4395	0	0	47
1.446	1	1	145	7	1	28	4395	0	0	47
1.447	1	1	145	8	1	28	4395	0	0	47
1.448	1	1	145	9	1	28	4395	0	0	47
1.487	1	1	149	8	1	28	4395	0	0	47
1.488	1	1	149	9	1	28	4395	0	0	47
1.489	1	1	149	10	1	28	4395	0	0	47
1.49	1	1	150	1	1	28	4395	0	0	47
1.491	1	1	150	2	1	28	4395	0	0	47
1.492	1	1	150	3	1	28	4395	0	0	47
1.493	1	1	150	4	1	28	4395	0	0	47
1.494	1	1	150	5	1	28	4395	0	0	47
1.495	1	1	150	6	1	28	4395	0	0	47
1.496	1	1	150	7	1	28	4395	0	0	47
1.497	1	1	150	8	1	28	4395	0	0	47
1.498	1	1	150	9	1	28	4395	0	0	47
1.499	1	1	150	10	1	28	4395	0	0	47
1.5	1	1	151	1	1	28	4395	0	0	47
1.534	1	1	154	5	1	28	4395	0	0	47
1.535	1	1	154	6	1	28	4395	0	0	47
1.536	1	1	154	7	1	28	4395	0	0	47
1.537	1	1	154	8	1	28	4395	0	0	47
1.538	1	1	154	9	1	28	4395	0	0	47
