% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
1.025	1	1	103	6	1	28	4587
1.072	1	1	108	3	1	28	4587
1.119	1	1	112	10	1	28	4587
1.166	1	1	117	7	1	28	4587
1.213	1	1	122	4	1	28	4587
1.26	1	1	127	1	1	28	4587
1.261	1	1	127	2	1	28	4587
1.307	1	1	131	8	1	28	4587
1.308	1	1	131	9	1	28	4587
1.309	1	1	131	10	1	28	4587
1.354	1	1	136	5	1	28	4587
1.355	1	1	136	6	1	28	4587
1.356	1	1	136	7	1	28	4587
1.357	1	1	136	8	1	28	4587
1.401	1	1	141	2	1	28	4587
1.402	1	1	141	3	1	28	4587
1.403	1	1	141	4	1	28	4587
1.404	1	1	141	5	1	28	4587
1.405	1	1	141	6	1	28	4587
1.406	1	1	141	7	1	28	4587
1.448	1	1	145	9	1	28	4587
1.449	1	1	145	10	1	28	4587
1.45	1	1	146	1	1	28	4587
1.451	1	1	146	2	1	28	4587
1.452	1	1	146	3	1	28	4587
1.453	1	1	146	4	1	28	4587
1.454	1	1	146	5	1	28	4587
1.455	1	1	146	6	1	28	4587
1.456	1	1	146	7	1	28	4587
1.495	1	1	150	6	1	28	4587
1.496	1	1	150	7	1	28	4587
1.497	1	1	150	8	1	28	4587
1.498	1	1	150	9	1	28	4587
1.499	1	1	150	10	1	28	4587
1.5	1	1	151	1	1	28	4587
1.501	1	1	151	2	1	28	4587
1.502	1	1	151	3	1	28	4587
1.503	1	1	151	4	1	28	4587
1.504	1	1	151	5	1	28	4587
1.505	1	1	151	6	1	28	4587
1.506	1	1	151	7	1	28	4587
1.507	1	1	151	8	1	28	4587
1.508	1	1	151	9	1	28	4587
1.542	1	1	155	3	1	28	4587
1.543	1	1	155	4	1	28	4587
1.544	1	1	155	5	1	28	4587
1.545	1	1	155	6	1	28	4587
1.546	1	1	155	7	1	28	4587
1.547	1	1	155	8	1	28	4587
1.548	1	1	155	9	1	28	4587
1.549	1	1	155	10	1	28	4587
1.55	1	1	156	1	1	28	4587
1.551	1	1	156	2	1	28	4587
1.552	1	1	156	3	1	28	4587
1.553	1	1	156	4	1	28	4587
1.554	1	1	156	5	1	28	4587
1.555	1	1	156	6	1	28	4587
1.556	1	1	156	7	1	28	4587
1.557	1	1	156	8	1	28	4587
1.558	1	1	156	9	1	28	4587
1.559	1	1	156	10	1	28	4587
1.56	1	1	157	1	1	28	4587
1.561	1	1	157	2	1	28	4587
1.562	1	1	157	3	1	28	4587
1.589	1	1	159	10	1	28	4587
1.59	1	1	160	1	1	28	4587
1.591	1	1	160	2	1	28	4587
1.592	1	1	160	3	1	28	4587
1.593	1	1	160	4	1	28	4587
1.594	1	1	160	5	1	28	4587
1.595	1	1	160	6	1	28	4587
1.596	1	1	160	7	1	28	4587
1.597	1	1	160	8	1	28	4587
1.598	1	1	160	9	1	28	4587
1.599	1	1	160	10	1	28	4587
1.6	1	1	161	1	1	28	4587
1.601	1	1	161	2	1	28	4587
1.602	1	1	161	3	1	28	4587
1.603	1	1	161	4	1	28	4587
1.604	1	1	161	5	1	28	4587
1.605	1	1	161	6	1	28	4587
1.606	1	1	161	7	1	28	4587
1.607	1	1	161	8	1	28	4587
1.608	1	1	161	9	1	28	4587
1.609	1	1	161	10	1	28	4587
1.61	1	1	162	1	1	28	4587
1.611	1	1	162	2	1	28	4587
1.612	1	1	162	3	1	28	4587
1.613	1	1	162	4	1	28	4587
1.614	1	1	162	5	1	28	4587
1.615	1	1	162	6	1	28	4587
1.616	1	1	162	7	1	28	4587
1.617	1	1	162	8	1	28	4587
1.618	1	1	162	9	1	28	4587
1.619	1	1	162	10	1	28	4587
1.636	1	1	164	7	1	28	4587
1.637	1	1	164	8	1	28	4587
1.638	1	1	164	9	1	28	4587
1.639	1	1	164	10	1	28	4587
1.64	1	1	165	1	1	28	4587
1.641	1	1	165	2	1	28	4587
1.642	1	1	165	3	1	28	4587
1.643	1	1	165	4	1	28	4587
1.644	1	1	165	5	1	28	4587
1.645	1	1	165	6	1	28	4587
1.646	1	1	165	7	1	28	4587
1.647	1	1	165	8	1	28	4587
1.648	1	1	165	9	1	28	4587
1.649	1	1	165	10	1	28	4587
1.65	1	1	166	1	1	28	4587
1.651	1	1	166	2	1	28	4587
1.652	1	1	166	3	1	28	4587
1.653	1	1	166	4	1	28	4587
1.654	1	1	166	5	1	28	4587
1.655	1	1	166	6	1	28	4587
1.656	1	1	166	7	1	28	4587
1.657	1	1	166	8	1	28	4587
1.658	1	1	166	9	1	28	4587
1.659	1	1	166	10	1	28	4587
1.66	1	1	167	1	1	28	4587
1.661	1	1	167	2	1	28	4587
1.662	1	1	167	3	1	28	4587
1.663	1	1	167	4	1	28	4587
1.664	1	1	167	5	1	28	4587
1.665	1	1	167	6	1	28	4587
1.666	1	1	167	7	1	28	4587
1.667	1	1	167	8	1	28	4587
