% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
1.11	1	1	112	1	1	28	4587
1.327	1	1	133	8	1	28	4587
1.544	1	1	155	5	1	28	4587
1.761	1	1	177	2	1	28	4587
1.961	1	1	197	2	1	28	4587
1.978	1	1	198	9	1	28	4587
2.178	1	1	218	9	1	28	4587
2.195	1	1	220	6	1	28	4587
2.395	1	1	240	6	1	28	4587
2.396	1	1	240	7	1	28	4587
2.412	1	1	242	3	1	28	4587
2.612	1	1	262	3	1	28	4587
2.613	1	1	262	4	1	28	4587
2.614	1	1	262	5	1	28	4587
2.629	1	1	263	10	1	28	4587
2.63	1	1	264	1	1	28	4587
2.829	1	1	283	10	1	28	4587
2.83	1	1	284	1	1	28	4587
2.831	1	1	284	2	1	28	4587
2.832	1	1	284	3	1	28	4587
2.846	1	1	285	7	1	28	4587
2.847	1	1	285	8	1	28	4587
2.848	1	1	285	9	1	28	4587
3.046	1	1	305	7	1	28	4587
3.047	1	1	305	8	1	28	4587
3.048	1	1	305	9	1	28	4587
3.049	1	1	305	10	1	28	4587
3.05	1	1	306	1	1	28	4587
3.051	1	1	306	2	1	28	4587
3.063	1	1	307	4	1	28	4587
3.064	1	1	307	5	1	28	4587
3.065	1	1	307	6	1	28	4587
3.066	1	1	307	7	1	28	4587
3.263	1	1	327	4	1	28	4587
3.264	1	1	327	5	1	28	4587
3.265	1	1	327	6	1	28	4587
3.266	1	1	327	7	1	28	4587
3.267	1	1	327	8	1	28	4587
3.268	1	1	327	9	1	28	4587
3.269	1	1	327	10	1	28	4587
3.27	1	1	328	1	1	28	4587
3.271	1	1	328	2	1	28	4587
3.28	1	1	329	1	1	28	4587
3.281	1	1	329	2	1	28	4587
3.282	1	1	329	3	1	28	4587
3.283	1	1	329	4	1	28	4587
3.284	1	1	329	5	1	28	4587
3.285	1	1	329	6	1	28	4587
3.48	1	1	349	1	1	28	4587
3.481	1	1	349	2	1	28	4587
3.482	1	1	349	3	1	28	4587
3.483	1	1	349	4	1	28	4587
3.484	1	1	349	5	1	28	4587
3.485	1	1	349	6	1	28	4587
3.486	1	1	349	7	1	28	4587
3.487	1	1	349	8	1	28	4587
3.488	1	1	349	9	1	28	4587
3.497	1	1	350	8	1	28	4587
3.498	1	1	350	9	1	28	4587
3.499	1	1	350	10	1	28	4587
3.5	1	1	351	1	1	28	4587
3.501	1	1	351	2	1	28	4587
3.697	1	1	370	8	1	28	4587
3.698	1	1	370	9	1	28	4587
3.699	1	1	370	10	1	28	4587
3.7	1	1	371	1	1	28	4587
3.701	1	1	371	2	1	28	4587
3.702	1	1	371	3	1	28	4587
3.703	1	1	371	4	1	28	4587
3.704	1	1	371	5	1	28	4587
3.705	1	1	371	6	1	28	4587
3.714	1	1	372	5	1	28	4587
3.715	1	1	372	6	1	28	4587
3.716	1	1	372	7	1	28	4587
3.717	1	1	372	8	1	28	4587
3.718	1	1	372	9	1	28	4587
3.914	1	1	392	5	1	28	4587
3.915	1	1	392	6	1	28	4587
3.916	1	1	392	7	1	28	4587
3.917	1	1	392	8	1	28	4587
3.918	1	1	392	9	1	28	4587
3.919	1	1	392	10	1	28	4587
3.92	1	1	393	1	1	28	4587
3.921	1	1	393	2	1	28	4587
3.922	1	1	393	3	1	28	4587
3.931	1	1	394	2	1	28	4587
3.932	1	1	394	3	1	28	4587
3.933	1	1	394	4	1	28	4587
3.934	1	1	394	5	1	28	4587
3.935	1	1	394	6	1	28	4587
4.131	1	1	414	2	1	28	4587
4.132	1	1	414	3	1	28	4587
4.133	1	1	414	4	1	28	4587
4.134	1	1	414	5	1	28	4587
4.135	1	1	414	6	1	28	4587
4.136	1	1	414	7	1	28	4587
4.137	1	1	414	8	1	28	4587
4.138	1	1	414	9	1	28	4587
4.139	1	1	414	10	1	28	4587
4.148	1	1	415	9	1	28	4587
4.149	1	1	415	10	1	28	4587
4.15	1	1	416	1	1	28	4587
4.151	1	1	416	2	1	28	4587
4.152	1	1	416	3	1	28	4587
4.348	1	1	435	9	1	28	4587
4.349	1	1	435	10	1	28	4587
4.35	1	1	436	1	1	28	4587
4.351	1	1	436	2	1	28	4587
4.352	1	1	436	3	1	28	4587
4.353	1	1	436	4	1	28	4587
4.354	1	1	436	5	1	28	4587
4.355	1	1	436	6	1	28	4587
4.356	1	1	436	7	1	28	4587
4.365	1	1	437	6	1	28	4587
4.366	1	1	437	7	1	28	4587
4.367	1	1	437	8	1	28	4587
4.368	1	1	437	9	1	28	4587
4.369	1	1	437	10	1	28	4587
4.565	1	1	457	6	1	28	4587
4.566	1	1	457	7	1	28	4587
4.567	1	1	457	8	1	28	4587
4.568	1	1	457	9	1	28	4587
4.569	1	1	457	10	1	28	4587
4.57	1	1	458	1	1	28	4587
4.571	1	1	458	2	1	28	4587
4.572	1	1	458	3	1	28	4587
4.573	1	1	458	4	1	28	4587
