% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	Nprb
1.017	1	1	102	8	1	28	9422	0	0	100
1.064	1	1	107	5	1	28	9422	0	0	100
1.111	1	1	112	2	1	28	9422	0	0	100
1.158	1	1	116	9	1	28	9422	0	0	100
1.205	1	1	121	6	1	28	9422	0	0	100
1.252	1	1	126	3	1	28	9422	0	0	100
1.299	1	1	130	10	1	28	9422	0	0	100
1.3	1	1	131	1	1	28	9422	0	0	100
1.346	1	1	135	7	1	28	9422	0	0	100
1.347	1	1	135	8	1	28	9422	0	0	100
1.393	1	1	140	4	1	28	9422	0	0	100
1.394	1	1	140	5	1	28	9422	0	0	100
1.395	1	1	140	6	1	28	9422	0	0	100
1.44	1	1	145	1	1	28	9422	0	0	100
1.441	1	1	145	2	1	28	9422	0	0	100
1.442	1	1	145	3	1	28	9422	0	0	100
1.443	1	1	145	4	1	28	9422	0	0	100
1.444	1	1	145	5	1	28	9422	0	0	100
1.487	1	1	149	8	1	28	9422	0	0	100
1.488	1	1	149	9	1	28	9422	0	0	100
1.489	1	1	149	10	1	28	9422	0	0	100
1.49	1	1	150	1	1	28	9422	0	0	100
1.491	1	1	150	2	1	28	9422	0	0	100
1.492	1	1	150	3	1	28	9422	0	0	100
1.493	1	1	150	4	1	28	9422	0	0	100
1.534	1	1	154	5	1	28	9422	0	0	100
1.535	1	1	154	6	1	28	9422	0	0	100
1.536	1	1	154	7	1	28	9422	0	0	100
1.537	1	1	154	8	1	28	9422	0	0	100
1.538	1	1	154	9	1	28	9422	0	0	100
1.539	1	1	154	10	1	28	9422	0	0	100
1.54	1	1	155	1	1	28	9422	0	0	100
1.581	1	1	159	2	1	28	9422	0	0	100
1.582	1	1	159	3	1	28	9422	0	0	100
1.583	1	1	159	4	1	28	9422	0	0	100
1.584	1	1	159	5	1	28	9422	0	0	100
1.585	1	1	159	6	1	28	9422	0	0	100
1.586	1	1	159	7	1	28	9422	0	0	100
1.587	1	1	159	8	1	28	9422	0	0	100
1.628	1	1	163	9	1	28	9422	0	0	100
1.629	1	1	163	10	1	28	9422	0	0	100
1.63	1	1	164	1	1	28	9422	0	0	100
1.631	1	1	164	2	1	28	9422	0	0	100
1.632	1	1	164	3	1	28	9422	0	0	100
1.633	1	1	164	4	1	28	9422	0	0	100
1.634	1	1	164	5	1	28	9422	0	0	100
1.675	1	1	168	6	1	28	9422	0	0	100
1.676	1	1	168	7	1	28	9422	0	0	100
1.677	1	1	168	8	1	28	9422	0	0	100
1.678	1	1	168	9	1	28	9422	0	0	100
1.679	1	1	168	10	1	28	9422	0	0	100
1.68	1	1	169	1	1	28	9422	0	0	100
1.681	1	1	169	2	1	28	9422	0	0	100
1.722	1	1	173	3	1	28	9422	0	0	100
1.723	1	1	173	4	1	28	9422	0	0	100
1.724	1	1	173	5	1	28	9422	0	0	100
1.725	1	1	173	6	1	28	9422	0	0	100
1.726	1	1	173	7	1	28	9422	0	0	100
1.727	1	1	173	8	1	28	9422	0	0	100
1.728	1	1	173	9	1	28	9422	0	0	100
1.769	1	1	177	10	1	28	9422	0	0	100
1.77	1	1	178	1	1	28	9422	0	0	100
1.771	1	1	178	2	1	28	9422	0	0	100
1.772	1	1	178	3	1	28	9422	0	0	100
1.773	1	1	178	4	1	28	9422	0	0	100
1.774	1	1	178	5	1	28	9422	0	0	100
1.775	1	1	178	6	1	28	9422	0	0	100
1.816	1	1	182	7	1	28	9422	0	0	100
1.817	1	1	182	8	1	28	9422	0	0	100
1.818	1	1	182	9	1	28	9422	0	0	100
1.819	1	1	182	10	1	28	9422	0	0	100
1.82	1	1	183	1	1	28	9422	0	0	100
1.821	1	1	183	2	1	28	9422	0	0	100
1.822	1	1	183	3	1	28	9422	0	0	100
1.863	1	1	187	4	1	28	9422	0	0	100
1.864	1	1	187	5	1	28	9422	0	0	100
1.865	1	1	187	6	1	28	9422	0	0	100
1.866	1	1	187	7	1	28	9422	0	0	100
1.867	1	1	187	8	1	28	9422	0	0	100
1.868	1	1	187	9	1	28	9422	0	0	100
1.869	1	1	187	10	1	28	9422	0	0	100
1.91	1	1	192	1	1	28	9422	0	0	100
1.911	1	1	192	2	1	28	9422	0	0	100
1.912	1	1	192	3	1	28	9422	0	0	100
1.913	1	1	192	4	1	28	9422	0	0	100
1.914	1	1	192	5	1	28	9422	0	0	100
1.915	1	1	192	6	1	28	9422	0	0	100
1.916	1	1	192	7	1	28	9422	0	0	100
1.957	1	1	196	8	1	28	9422	0	0	100
1.958	1	1	196	9	1	28	9422	0	0	100
1.959	1	1	196	10	1	28	9422	0	0	100
1.96	1	1	197	1	1	28	9422	0	0	100
1.961	1	1	197	2	1	28	9422	0	0	100
1.962	1	1	197	3	1	28	9422	0	0	100
1.963	1	1	197	4	1	28	9422	0	0	100
2.004	1	1	201	5	1	28	9422	0	0	100
2.005	1	1	201	6	1	28	9422	0	0	100
2.006	1	1	201	7	1	28	9422	0	0	100
2.007	1	1	201	8	1	28	9422	0	0	100
2.008	1	1	201	9	1	28	9422	0	0	100
2.009	1	1	201	10	1	28	9422	0	0	100
2.01	1	1	202	1	1	28	9422	0	0	100
2.051	1	1	206	2	1	28	9422	0	0	100
2.052	1	1	206	3	1	28	9422	0	0	100
2.053	1	1	206	4	1	28	9422	0	0	100
2.054	1	1	206	5	1	28	9422	0	0	100
2.055	1	1	206	6	1	28	9422	0	0	100
2.056	1	1	206	7	1	28	9422	0	0	100
2.057	1	1	206	8	1	28	9422	0	0	100
2.098	1	1	210	9	1	28	9422	0	0	100
2.099	1	1	210	10	1	28	9422	0	0	100
2.1	1	1	211	1	1	28	9422	0	0	100
2.101	1	1	211	2	1	28	9422	0	0	100
2.102	1	1	211	3	1	28	9422	0	0	100
2.103	1	1	211	4	1	28	9422	0	0	100
2.104	1	1	211	5	1	28	9422	0	0	100
2.145	1	1	215	6	1	28	9422	0	0	100
2.146	1	1	215	7	1	28	9422	0	0	100
2.147	1	1	215	8	1	28	9422	0	0	100
2.148	1	1	215	9	1	28	9422	0	0	100
2.149	1	1	215	10	1	28	9422	0	0	100
2.15	1	1	216	1	1	28	9422	0	0	100
2.151	1	1	216	2	1	28	9422	0	0	100
2.192	1	1	220	3	1	28	9422	0	0	100
2.193	1	1	220	4	1	28	9422	0	0	100
2.194	1	1	220	5	1	28	9422	0	0	100
2.195	1	1	220	6	1	28	9422	0	0	100
2.196	1	1	220	7	1	28	9422	0	0	100
2.197	1	1	220	8	1	28	9422	0	0	100
2.198	1	1	220	9	1	28	9422	0	0	100
2.239	1	1	224	10	1	28	9422	0	0	100
2.24	1	1	225	1	1	28	9422	0	0	100
2.241	1	1	225	2	1	28	9422	0	0	100
2.242	1	1	225	3	1	28	9422	0	0	100
2.243	1	1	225	4	1	28	9422	0	0	100
2.244	1	1	225	5	1	28	9422	0	0	100
2.245	1	1	225	6	1	28	9422	0	0	100
2.286	1	1	229	7	1	28	9422	0	0	100
2.287	1	1	229	8	1	28	9422	0	0	100
2.288	1	1	229	9	1	28	9422	0	0	100
2.289	1	1	229	10	1	28	9422	0	0	100
2.29	1	1	230	1	1	28	9422	0	0	100
2.291	1	1	230	2	1	28	9422	0	0	100
2.292	1	1	230	3	1	28	9422	0	0	100
2.333	1	1	234	4	1	28	9422	0	0	100
2.334	1	1	234	5	1	28	9422	0	0	100
2.335	1	1	234	6	1	28	9422	0	0	100
2.336	1	1	234	7	1	28	9422	0	0	100
2.337	1	1	234	8	1	28	9422	0	0	100
2.338	1	1	234	9	1	28	9422	0	0	100
2.339	1	1	234	10	1	28	9422	0	0	100
2.38	1	1	239	1	1	28	9422	0	0	100
2.381	1	1	239	2	1	28	9422	0	0	100
2.382	1	1	239	3	1	28	9422	0	0	100
2.383	1	1	239	4	1	28	9422	0	0	100
2.384	1	1	239	5	1	28	9422	0	0	100
2.385	1	1	239	6	1	28	9422	0	0	100
2.386	1	1	239	7	1	28	9422	0	0	100
2.427	1	1	243	8	1	28	9422	0	0	100
2.428	1	1	243	9	1	28	9422	0	0	100
2.429	1	1	243	10	1	28	9422	0	0	100
2.43	1	1	244	1	1	28	9422	0	0	100
2.431	1	1	244	2	1	28	9422	0	0	100
2.432	1	1	244	3	1	28	9422	0	0	100
