% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	Nprb
1.102	1	1	111	3	1	28	9422	0	0	100
1.103	1	1	111	4	1	28	9422	0	0	100
1.104	1	1	111	5	1	28	9422	0	0	100
1.105	1	1	111	6	1	28	9422	0	0	100
1.106	1	1	111	7	1	28	9422	0	0	100
1.107	1	1	111	8	1	28	9422	0	0	100
1.108	1	1	111	9	1	28	9422	0	0	100
1.109	1	1	111	10	1	28	9422	0	0	100
1.11	1	1	112	1	1	28	9422	0	0	100
1.111	1	1	112	2	1	28	9422	0	0	100
1.112	1	1	112	3	1	28	9422	0	0	100
1.113	1	1	112	4	1	28	9422	0	0	100
1.114	1	1	112	5	1	28	9422	0	0	100
1.115	1	1	112	6	1	28	9422	0	0	100
1.116	1	1	112	7	1	28	9422	0	0	100
1.117	1	1	112	8	1	28	9422	0	0	100
1.118	1	1	112	9	1	28	9422	0	0	100
1.119	1	1	112	10	1	28	9422	0	0	100
1.12	1	1	113	1	1	28	9422	0	0	100
1.121	1	1	113	2	1	28	9422	0	0	100
1.122	1	1	113	3	1	28	9422	0	0	100
1.123	1	1	113	4	1	28	9422	0	0	100
1.124	1	1	113	5	1	28	9422	0	0	100
1.125	1	1	113	6	1	28	9422	0	0	100
1.126	1	1	113	7	1	28	9422	0	0	100
1.127	1	1	113	8	1	28	9422	0	0	100
1.128	1	1	113	9	1	28	9422	0	0	100
1.129	1	1	113	10	1	28	9422	0	0	100
1.13	1	1	114	1	1	28	9422	0	0	100
1.131	1	1	114	2	1	28	9422	0	0	100
1.132	1	1	114	3	1	28	9422	0	0	100
1.133	1	1	114	4	1	28	9422	0	0	100
1.134	1	1	114	5	1	28	9422	0	0	100
1.135	1	1	114	6	1	28	9422	0	0	100
1.136	1	1	114	7	1	28	9422	0	0	100
1.137	1	1	114	8	1	28	9422	0	0	100
1.138	1	1	114	9	1	28	9422	0	0	100
1.139	1	1	114	10	1	28	9422	0	0	100
1.14	1	1	115	1	1	28	9422	0	0	100
1.141	1	1	115	2	1	28	9422	0	0	100
1.142	1	1	115	3	1	28	9422	0	0	100
1.143	1	1	115	4	1	28	9422	0	0	100
1.144	1	1	115	5	1	28	9422	0	0	100
1.145	1	1	115	6	1	28	9422	0	0	100
1.146	1	1	115	7	1	28	9422	0	0	100
1.147	1	1	115	8	1	28	9422	0	0	100
1.148	1	1	115	9	1	28	9422	0	0	100
1.149	1	1	115	10	1	28	9422	0	0	100
1.15	1	1	116	1	1	28	9422	0	0	100
1.151	1	1	116	2	1	28	9422	0	0	100
1.152	1	1	116	3	1	28	9422	0	0	100
1.153	1	1	116	4	1	28	9422	0	0	100
1.154	1	1	116	5	1	28	9422	0	0	100
1.155	1	1	116	6	1	28	9422	0	0	100
1.156	1	1	116	7	1	28	9422	0	0	100
1.157	1	1	116	8	1	28	9422	0	0	100
1.158	1	1	116	9	1	28	9422	0	0	100
1.159	1	1	116	10	1	28	9422	0	0	100
1.16	1	1	117	1	1	28	9422	0	0	100
1.161	1	1	117	2	1	28	9422	0	0	100
1.162	1	1	117	3	1	28	9422	0	0	100
1.163	1	1	117	4	1	28	9422	0	0	100
1.164	1	1	117	5	1	28	9422	0	0	100
1.165	1	1	117	6	1	28	9422	0	0	100
1.166	1	1	117	7	1	28	9422	0	0	100
1.167	1	1	117	8	1	28	9422	0	0	100
1.168	1	1	117	9	1	28	9422	0	0	100
1.169	1	1	117	10	1	28	9422	0	0	100
1.17	1	1	118	1	1	28	9422	0	0	100
1.171	1	1	118	2	1	28	9422	0	0	100
1.172	1	1	118	3	1	28	9422	0	0	100
1.173	1	1	118	4	1	28	9422	0	0	100
1.174	1	1	118	5	1	28	9422	0	0	100
1.175	1	1	118	6	1	28	9422	0	0	100
1.176	1	1	118	7	1	28	9422	0	0	100
1.177	1	1	118	8	1	28	9422	0	0	100
1.178	1	1	118	9	1	28	9422	0	0	100
1.179	1	1	118	10	1	28	9422	0	0	100
1.18	1	1	119	1	1	28	9422	0	0	100
1.181	1	1	119	2	1	28	9422	0	0	100
