% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
1.05	1	3	106	1	1	28	3062
1.05	1	1	106	1	2	28	3062
1.05	1	2	106	1	3	28	3062
1.147	1	3	115	8	1	28	3062
1.147	1	1	115	8	2	28	3062
1.147	1	2	115	8	3	28	3062
1.244	1	3	125	5	1	28	3062
1.244	1	1	125	5	2	28	3062
1.244	1	2	125	5	3	28	3062
1.341	1	3	135	2	1	28	3062
1.341	1	1	135	2	2	28	3062
1.341	1	2	135	2	3	28	3062
1.438	1	3	144	9	1	28	3062
1.438	1	1	144	9	2	28	3062
1.438	1	2	144	9	3	28	3062
1.439	1	3	144	10	1	28	3062
1.439	1	1	144	10	2	28	3062
1.439	1	2	144	10	3	28	3062
1.535	1	3	154	6	1	28	3062
1.535	1	1	154	6	2	28	3062
1.535	1	2	154	6	3	28	3062
1.536	1	3	154	7	1	28	3062
1.536	1	1	154	7	2	28	3062
1.536	1	2	154	7	3	28	3062
1.537	1	3	154	8	1	28	3062
1.537	1	1	154	8	2	28	3062
1.537	1	2	154	8	3	28	3062
1.632	1	3	164	3	1	28	3062
1.632	1	1	164	3	2	28	3062
1.632	1	2	164	3	3	28	3062
1.633	1	3	164	4	1	28	3062
1.633	1	1	164	4	2	28	3062
1.633	1	2	164	4	3	28	3062
1.634	1	3	164	5	1	28	3062
1.634	1	1	164	5	2	28	3062
1.634	1	2	164	5	3	28	3062
1.635	1	3	164	6	1	28	3062
1.635	1	1	164	6	2	28	3062
1.635	1	2	164	6	3	28	3062
1.729	1	3	173	10	1	28	3062
1.729	1	1	173	10	2	28	3062
1.729	1	2	173	10	3	28	3062
1.73	1	3	174	1	1	28	3062
1.73	1	1	174	1	2	28	3062
1.73	1	2	174	1	3	28	3062
1.731	1	3	174	2	1	28	3062
1.731	1	1	174	2	2	28	3062
1.731	1	2	174	2	3	28	3062
1.732	1	3	174	3	1	28	3062
1.732	1	1	174	3	2	28	3062
1.732	1	2	174	3	3	28	3062
1.733	1	3	174	4	1	28	3062
1.733	1	1	174	4	2	28	3062
1.733	1	2	174	4	3	28	3062
1.734	1	3	174	5	1	28	3062
1.734	1	1	174	5	2	28	3062
1.734	1	2	174	5	3	28	3062
1.826	1	3	183	7	1	28	3062
1.826	1	1	183	7	2	28	3062
1.826	1	2	183	7	3	28	3062
1.827	1	3	183	8	1	28	3062
1.827	1	1	183	8	2	28	3062
1.827	1	2	183	8	3	28	3062
1.828	1	3	183	9	1	28	3062
1.828	1	1	183	9	2	28	3062
1.828	1	2	183	9	3	28	3062
1.829	1	3	183	10	1	28	3062
1.829	1	1	183	10	2	28	3062
1.829	1	2	183	10	3	28	3062
1.83	1	3	184	1	1	28	3062
1.83	1	1	184	1	2	28	3062
1.83	1	2	184	1	3	28	3062
1.831	1	3	184	2	1	28	3062
1.831	1	1	184	2	2	28	3062
1.831	1	2	184	2	3	28	3062
1.832	1	3	184	3	1	28	3062
1.832	1	1	184	3	2	28	3062
1.832	1	2	184	3	3	28	3062
1.833	1	3	184	4	1	28	3062
1.833	1	1	184	4	2	28	3062
1.833	1	2	184	4	3	28	3062
1.834	1	3	184	5	1	28	3062
1.834	1	1	184	5	2	28	3062
1.834	1	2	184	5	3	28	3062
1.923	1	3	193	4	1	28	3062
1.923	1	1	193	4	2	28	3062
1.923	1	2	193	4	3	28	3062
1.924	1	3	193	5	1	28	3062
1.924	1	1	193	5	2	28	3062
1.924	1	2	193	5	3	28	3062
1.925	1	3	193	6	1	28	3062
1.925	1	1	193	6	2	28	3062
1.925	1	2	193	6	3	28	3062
1.926	1	3	193	7	1	28	3062
1.926	1	1	193	7	2	28	3062
1.926	1	2	193	7	3	28	3062
1.927	1	3	193	8	1	28	3062
1.927	1	1	193	8	2	28	3062
1.927	1	2	193	8	3	28	3062
1.928	1	3	193	9	1	28	3062
1.928	1	1	193	9	2	28	3062
1.928	1	2	193	9	3	28	3062
1.929	1	3	193	10	1	28	3062
1.929	1	1	193	10	2	28	3062
1.929	1	2	193	10	3	28	3062
1.93	1	3	194	1	1	28	3062
1.93	1	1	194	1	2	28	3062
1.93	1	2	194	1	3	28	3062
1.931	1	3	194	2	1	28	3062
1.931	1	1	194	2	2	28	3062
1.931	1	2	194	2	3	28	3062
1.932	1	3	194	3	1	28	3062
1.932	1	1	194	3	2	28	3062
1.932	1	2	194	3	3	28	3062
1.933	1	3	194	4	1	28	3062
1.933	1	1	194	4	2	28	3062
1.933	1	2	194	4	3	28	3062
1.934	1	3	194	5	1	28	3062
1.934	1	1	194	5	2	28	3062
1.934	1	2	194	5	3	28	3062
1.935	1	3	194	6	1	28	3062
1.935	1	1	194	6	2	28	3062
1.935	1	2	194	6	3	28	3062
1.936	1	3	194	7	1	28	3062
1.936	1	1	194	7	2	28	3062
1.936	1	2	194	7	3	28	3062
2.02	1	3	203	1	1	28	3062
2.02	1	1	203	1	2	28	3062
2.02	1	2	203	1	3	28	3062
2.021	1	3	203	2	1	28	3062
2.021	1	1	203	2	2	28	3062
2.021	1	2	203	2	3	28	3062
2.022	1	3	203	3	1	28	3062
2.022	1	1	203	3	2	28	3062
2.022	1	2	203	3	3	28	3062
2.023	1	3	203	4	1	28	3062
2.023	1	1	203	4	2	28	3062
2.023	1	2	203	4	3	28	3062
2.024	1	3	203	5	1	28	3062
2.024	1	1	203	5	2	28	3062
2.024	1	2	203	5	3	28	3062
2.025	1	3	203	6	1	28	3062
2.025	1	1	203	6	2	28	3062
2.025	1	2	203	6	3	28	3062
2.026	1	3	203	7	1	28	3062
2.026	1	1	203	7	2	28	3062
2.026	1	2	203	7	3	28	3062
2.027	1	3	203	8	1	28	3062
2.027	1	1	203	8	2	28	3062
2.027	1	2	203	8	3	28	3062
2.028	1	3	203	9	1	28	3062
2.028	1	1	203	9	2	28	3062
2.028	1	2	203	9	3	28	3062
2.029	1	3	203	10	1	28	3062
2.029	1	1	203	10	2	28	3062
2.029	1	2	203	10	3	28	3062
2.03	1	3	204	1	1	28	3062
2.03	1	1	204	1	2	28	3062
2.03	1	2	204	1	3	28	3062
2.031	1	3	204	2	1	28	3062
2.031	1	1	204	2	2	28	3062
2.031	1	2	204	2	3	28	3062
2.032	1	3	204	3	1	28	3062
2.032	1	1	204	3	2	28	3062
2.032	1	2	204	3	3	28	3062
2.033	1	3	204	4	1	28	3062
2.033	1	1	204	4	2	28	3062
2.033	1	2	204	4	3	28	3062
2.034	1	3	204	5	1	28	3062
2.034	1	1	204	5	2	28	3062
2.034	1	2	204	5	3	28	3062
2.035	1	3	204	6	1	28	3062
2.035	1	1	204	6	2	28	3062
2.035	1	2	204	6	3	28	3062
2.036	1	3	204	7	1	28	3062
2.036	1	1	204	7	2	28	3062
2.036	1	2	204	7	3	28	3062
2.037	1	3	204	8	1	28	3062
2.037	1	1	204	8	2	28	3062
2.037	1	2	204	8	3	28	3062
2.038	1	3	204	9	1	28	3062
2.038	1	1	204	9	2	28	3062
2.038	1	2	204	9	3	28	3062
2.039	1	3	204	10	1	28	3062
2.039	1	1	204	10	2	28	3062
2.039	1	2	204	10	3	28	3062
2.04	1	3	205	1	1	28	3062
2.04	1	1	205	1	2	28	3062
2.04	1	2	205	1	3	28	3062
2.117	1	3	212	8	1	28	3062
2.117	1	1	212	8	2	28	3062
2.117	1	2	212	8	3	28	3062
2.118	1	3	212	9	1	28	3062
2.118	1	1	212	9	2	28	3062
2.118	1	2	212	9	3	28	3062
2.119	1	3	212	10	1	28	3062
2.119	1	1	212	10	2	28	3062
2.119	1	2	212	10	3	28	3062
2.12	1	3	213	1	1	28	3062
2.12	1	1	213	1	2	28	3062
2.12	1	2	213	1	3	28	3062
2.121	1	3	213	2	1	28	3062
2.121	1	1	213	2	2	28	3062
2.121	1	2	213	2	3	28	3062
2.122	1	3	213	3	1	28	3062
2.122	1	1	213	3	2	28	3062
2.122	1	2	213	3	3	28	3062
2.123	1	3	213	4	1	28	3062
2.123	1	1	213	4	2	28	3062
2.123	1	2	213	4	3	28	3062
2.124	1	3	213	5	1	28	3062
2.124	1	1	213	5	2	28	3062
2.124	1	2	213	5	3	28	3062
2.125	1	3	213	6	1	28	3062
2.125	1	1	213	6	2	28	3062
2.125	1	2	213	6	3	28	3062
2.126	1	3	213	7	1	28	3062
2.126	1	1	213	7	2	28	3062
2.126	1	2	213	7	3	28	3062
2.127	1	3	213	8	1	28	3062
2.127	1	1	213	8	2	28	3062
2.127	1	2	213	8	3	28	3062
2.128	1	3	213	9	1	28	3062
2.128	1	1	213	9	2	28	3062
2.128	1	2	213	9	3	28	3062
2.129	1	3	213	10	1	28	3062
2.129	1	1	213	10	2	28	3062
2.129	1	2	213	10	3	28	3062
2.13	1	3	214	1	1	28	3062
2.13	1	1	214	1	2	28	3062
2.13	1	2	214	1	3	28	3062
2.131	1	3	214	2	1	28	3062
2.131	1	1	214	2	2	28	3062
2.131	1	2	214	2	3	28	3062
2.132	1	3	214	3	1	28	3062
2.132	1	1	214	3	2	28	3062
2.132	1	2	214	3	3	28	3062
2.133	1	3	214	4	1	28	3062
