% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	Nprb
1.102	1	1	111	3	1	28	4395	0	0	47
1.319	1	1	132	10	1	28	4395	0	0	47
1.536	1	1	154	7	1	28	4395	0	0	47
1.753	1	1	176	4	1	28	4395	0	0	47
1.97	1	1	198	1	1	28	4395	0	0	47
2.17	1	1	218	1	1	28	4395	0	0	47
2.187	1	1	219	8	1	28	4395	0	0	47
2.387	1	1	239	8	1	28	4395	0	0	47
2.388	1	1	239	9	1	28	4395	0	0	47
2.404	1	1	241	5	1	28	4395	0	0	47
2.604	1	1	261	5	1	28	4395	0	0	47
2.605	1	1	261	6	1	28	4395	0	0	47
2.606	1	1	261	7	1	28	4395	0	0	47
2.621	1	1	263	2	1	28	4395	0	0	47
2.622	1	1	263	3	1	28	4395	0	0	47
2.821	1	1	283	2	1	28	4395	0	0	47
2.822	1	1	283	3	1	28	4395	0	0	47
2.823	1	1	283	4	1	28	4395	0	0	47
2.824	1	1	283	5	1	28	4395	0	0	47
2.838	1	1	284	9	1	28	4395	0	0	47
2.839	1	1	284	10	1	28	4395	0	0	47
2.84	1	1	285	1	1	28	4395	0	0	47
3.038	1	1	304	9	1	28	4395	0	0	47
3.039	1	1	304	10	1	28	4395	0	0	47
3.04	1	1	305	1	1	28	4395	0	0	47
3.041	1	1	305	2	1	28	4395	0	0	47
3.042	1	1	305	3	1	28	4395	0	0	47
3.043	1	1	305	4	1	28	4395	0	0	47
3.055	1	1	306	6	1	28	4395	0	0	47
3.056	1	1	306	7	1	28	4395	0	0	47
3.057	1	1	306	8	1	28	4395	0	0	47
3.058	1	1	306	9	1	28	4395	0	0	47
3.255	1	1	326	6	1	28	4395	0	0	47
3.256	1	1	326	7	1	28	4395	0	0	47
3.257	1	1	326	8	1	28	4395	0	0	47
3.258	1	1	326	9	1	28	4395	0	0	47
3.259	1	1	326	10	1	28	4395	0	0	47
3.26	1	1	327	1	1	28	4395	0	0	47
3.261	1	1	327	2	1	28	4395	0	0	47
3.262	1	1	327	3	1	28	4395	0	0	47
3.263	1	1	327	4	1	28	4395	0	0	47
3.272	1	1	328	3	1	28	4395	0	0	47
3.273	1	1	328	4	1	28	4395	0	0	47
3.274	1	1	328	5	1	28	4395	0	0	47
3.275	1	1	328	6	1	28	4395	0	0	47
3.276	1	1	328	7	1	28	4395	0	0	47
3.277	1	1	328	8	1	28	4395	0	0	47
3.472	1	1	348	3	1	28	4395	0	0	47
3.473	1	1	348	4	1	28	4395	0	0	47
3.474	1	1	348	5	1	28	4395	0	0	47
3.475	1	1	348	6	1	28	4395	0	0	47
3.476	1	1	348	7	1	28	4395	0	0	47
3.477	1	1	348	8	1	28	4395	0	0	47
3.478	1	1	348	9	1	28	4395	0	0	47
3.479	1	1	348	10	1	28	4395	0	0	47
3.48	1	1	349	1	1	28	4395	0	0	47
3.481	1	1	349	2	1	28	4395	0	0	47
3.482	1	1	349	3	1	28	4395	0	0	47
3.483	1	1	349	4	1	28	4395	0	0	47
3.484	1	1	349	5	1	28	4395	0	0	47
3.485	1	1	349	6	1	28	4395	0	0	47
3.489	1	1	349	10	1	28	4395	0	0	47
