% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
1.025	1	3	103	6	1	28	3062
1.025	1	1	103	6	2	28	3062
1.025	1	2	103	6	3	28	3062
1.072	1	3	108	3	1	28	3062
1.072	1	1	108	3	2	28	3062
1.072	1	2	108	3	3	28	3062
1.119	1	3	112	10	1	28	3062
1.119	1	1	112	10	2	28	3062
1.119	1	2	112	10	3	28	3062
1.166	1	3	117	7	1	28	3062
1.166	1	1	117	7	2	28	3062
1.166	1	2	117	7	3	28	3062
1.213	1	3	122	4	1	28	3062
1.213	1	1	122	4	2	28	3062
1.213	1	2	122	4	3	28	3062
1.214	1	3	122	5	1	28	3062
1.214	1	1	122	5	2	28	3062
1.214	1	2	122	5	3	28	3062
1.26	1	3	127	1	1	28	3062
1.26	1	1	127	1	2	28	3062
1.26	1	2	127	1	3	28	3062
1.261	1	3	127	2	1	28	3062
1.261	1	1	127	2	2	28	3062
1.261	1	2	127	2	3	28	3062
1.262	1	3	127	3	1	28	3062
1.262	1	1	127	3	2	28	3062
1.262	1	2	127	3	3	28	3062
1.307	1	3	131	8	1	28	3062
1.307	1	1	131	8	2	28	3062
1.307	1	2	131	8	3	28	3062
1.308	1	3	131	9	1	28	3062
1.308	1	1	131	9	2	28	3062
1.308	1	2	131	9	3	28	3062
1.309	1	3	131	10	1	28	3062
1.309	1	1	131	10	2	28	3062
1.309	1	2	131	10	3	28	3062
1.31	1	3	132	1	1	28	3062
1.31	1	1	132	1	2	28	3062
1.31	1	2	132	1	3	28	3062
1.354	1	3	136	5	1	28	3062
1.354	1	1	136	5	2	28	3062
1.354	1	2	136	5	3	28	3062
1.355	1	3	136	6	1	28	3062
1.355	1	1	136	6	2	28	3062
1.355	1	2	136	6	3	28	3062
1.356	1	3	136	7	1	28	3062
1.356	1	1	136	7	2	28	3062
1.356	1	2	136	7	3	28	3062
1.357	1	3	136	8	1	28	3062
1.357	1	1	136	8	2	28	3062
1.357	1	2	136	8	3	28	3062
1.358	1	3	136	9	1	28	3062
1.358	1	1	136	9	2	28	3062
1.358	1	2	136	9	3	28	3062
1.359	1	3	136	10	1	28	3062
1.359	1	1	136	10	2	28	3062
1.359	1	2	136	10	3	28	3062
1.401	1	3	141	2	1	28	3062
1.401	1	1	141	2	2	28	3062
1.401	1	2	141	2	3	28	3062
1.402	1	3	141	3	1	28	3062
1.402	1	1	141	3	2	28	3062
1.402	1	2	141	3	3	28	3062
1.403	1	3	141	4	1	28	3062
1.403	1	1	141	4	2	28	3062
1.403	1	2	141	4	3	28	3062
1.404	1	3	141	5	1	28	3062
1.404	1	1	141	5	2	28	3062
1.404	1	2	141	5	3	28	3062
1.405	1	3	141	6	1	28	3062
1.405	1	1	141	6	2	28	3062
1.405	1	2	141	6	3	28	3062
1.406	1	3	141	7	1	28	3062
1.406	1	1	141	7	2	28	3062
1.406	1	2	141	7	3	28	3062
1.407	1	3	141	8	1	28	3062
1.407	1	1	141	8	2	28	3062
1.407	1	2	141	8	3	28	3062
1.408	1	3	141	9	1	28	3062
1.408	1	1	141	9	2	28	3062
1.408	1	2	141	9	3	28	3062
1.409	1	3	141	10	1	28	3062
1.409	1	1	141	10	2	28	3062
1.409	1	2	141	10	3	28	3062
1.448	1	3	145	9	1	28	3062
1.448	1	1	145	9	2	28	3062
1.448	1	2	145	9	3	28	3062
